id, username, created_at, lng, lat, text
1253542453967073280, O1BqFAg3Jc1zFaF, Fri Apr 24 04:33:05 +0000 2020, 104.095856, 15.492801, เงี่ยน https://t.co/3jCx4Ec53D 
1253542455607058434, yushanyusof, Fri Apr 24 04:33:05 +0000 2020, 101.844167, 3.075327, Kemain SpongeBob dan Patrick berbaju Melayu 
1253542455770673153, kmchsvl, Fri Apr 24 04:33:05 +0000 2020, 123.247827, 13.640892, Medyo risky sa naga city if ipapatupad ang GCQ. Knowing na may case pa din dito. 
1253542456097779712, jooo_wanna, Fri Apr 24 04:33:05 +0000 2020, 120.467841, 14.727961, nakakatuwa naman mga profs namen, ambabait may isa lang na naligaw ng landas HAHAHAHAHAHAHA 
1253542456085237760, ketaniteeem, Fri Apr 24 04:33:05 +0000 2020, 109.793774, -7.774026, @nayyasr Sehat terus ayah🤗 
1253542456219459584, payissss, Fri Apr 24 04:33:05 +0000 2020, 101.677319, 2.668607, @kojie_yama Boleh jawab tak? 
1253542456676585473, sulton_yp, Fri Apr 24 04:33:06 +0000 2020, 112.661137, -7.408608, Camilannya di order gaes. ngabuburit sambil makan camilan camilan ini enak lomangkanya buruan di order sebelum ke… https://t.co/A1p424tXvw 
1253542458668941313, Faez_Ahmad, Fri Apr 24 04:33:06 +0000 2020, 101.787409, 3.054909, @FayyadhZ https://t.co/mrT61SoxuQ 
1253542459226779648, yippieyayoyeah, Fri Apr 24 04:33:06 +0000 2020, 121.104887, 14.646971, @PiggyBabe18 Okay naman po 
1253542459906289664, AllenClaireA, Fri Apr 24 04:33:06 +0000 2020, 125.117439, 7.042644, @pipoyoreiro As in? Hahahahahahaha sige sige unya mutan aw ko 
1253542460749279233, IBS_13, Fri Apr 24 04:33:06 +0000 2020, 110.350594, -7.802309, @mqrtabak Cek dm kak 
1253542461932105729, jheanacole, Fri Apr 24 04:33:07 +0000 2020, 120.983987, 14.591456, whOaaaaaa good afternoon talaga samin ng mga ate,, magsasama-sama talaga kami sa impyerno!!! 
1253542461827198977, kynaalkhaired05, Fri Apr 24 04:33:07 +0000 2020, 101.696438, 2.931291, Kat office aku ada biskut tauuu. Jgn macam2 eah. Kang aku seludup masuk office aku aku ngap oreo 😂😂😂 
1253542463676899328, AmmieTwoPeeMz, Fri Apr 24 04:33:07 +0000 2020, 100.612125, 13.819337, @LateCyA124 ยังค่ะยังพี่นิ อันนี้ของเกาหรีที่เอามาปล่อยค่ะ 😂😂😂 
1253542463848894465, yudhistirahat, Fri Apr 24 04:33:07 +0000 2020, 107.140068, -6.370803, @neomukiyopta @allemonadee @subtanyarl Makasi nder 
1253542464079593472, jheanacole, Fri Apr 24 04:33:07 +0000 2020, 120.983987, 14.591456, @mnjoycee @chelswhutt @amandalycious 
1253542466298339328, kthalexandria, Fri Apr 24 04:33:08 +0000 2020, 123.255463, 9.241783, hehe 
1253542466810048514, ChandraWijayaP6, Fri Apr 24 04:33:08 +0000 2020, 99.066391, 1.863564, Padahal pertengahan mei mau balik semarang gimana ini? 
1253542467867045888, azifanuar73, Fri Apr 24 04:33:08 +0000 2020, 100.571735, 6.160018, @faris_syahmii Padu tam 
1253542469821579264, psupawadeehotm1, Fri Apr 24 04:33:09 +0000 2020, 103.172367, 15.095251, #GOT7 #IGOT7 #GOT7_MCOUNTDOWN #GOT7_NOTBYTHEMOON 
